ID;Fecha;Usuario;Contenido;Localización;URL;Seguidores;Retweets;Likes;Sentimiento
1847703750586020291;2024-10-19 18:17:57;Katya Adaui;No volvía a Lima desde enero. Qué inhabitable: no se puede transitar, horas perdidas en el tráfico, horas. Nadie puede llegar puntual. Estrés, rabia, entrampamiento. Qué ciudad tan dura. Esta espera es cruel. Y decepciona aún más cada día. ;Una peruana en Buenos Aires;https://x.com/kadaui/status/1847703750586020291;16160;402;3152;negative
1824488521857396761;2024-08-16 16:48:55;Crookez;Claro, porque te demoras 2 horas en llegar y 4 en irte, apretado con olor a ala en el metropolitano/micro/tren y encima te pagan un miseria, te explotan y te acosan x whatsapp. Vayanse todos bien a la mierda;Peru 🇵🇪;https://x.com/crooknuke/status/1824488521857396761;3132;477;3142;negative
1850665299223498767;2024-10-27 22:26:05;Carlos Bruce - Techito;¡NO SEÑOR LOPEZ ALIAGA! NO NOS OPONEMOS AL PROYECTO DE AMPLIACION DE LA VÍA EXPRESA. LO QUE NOS OPONEMOS ES A QUE EL MUNICIPIO DE LIMA ENTRE A DESTRUIR LA AREAS VERDES Y DE RECREACIÓN QUE EL MUNICIPIO DE SURCO A COLOCADO DESDE HACE 18 AÑOS PARA QUE NUESTROS VECINOS NO TENGAN QUE;Lima, Perú;https://x.com/Carlos_Bruce/status/1850665299223498767;108147;629;3107;negative
1828927171601092721;2024-08-28 22:46:32;Jaime Serra 🇵🇪;Llamé a @ClaroPeru me respondió una operadora le dije que quería dar de baja a mi servicio de Internet me pidió mi nombre mi DNI y me dejó 40 minutos en espera. El servicio de Claro es una real estafa, no se cambien a Claro y dale RT para que este mensaje llegue a muchas personas ;Lima, Perú;https://x.com/JaimeSerra/status/1828927171601092721;4309;1248;2933;negative
1748460655168892972;2024-01-19 21:41:19;Juan Pablo León 🇵🇪;Chile ya está al nivel de Londres en transporte con este nuevo tren Perú al nivel de una miniván manejada por un chofer sin brevete premiado con amnistías por su congreso;Lima, Perú;https://x.com/mal_menor/status/1748460655168892972;58820;754;2778;neutral
1844867165117116420;2024-10-11 22:26:22;LA LUPA; #ALERTA Se rompe el diálogo entre transportistas y el Congreso. De inmediato la Policía empezó a gasear y disparar perdigones a los manifestantes que habían llegado hasta el centro de #Lima. Convocan a #ParoNacional Indefinido. Videos: Recopilacion. ;Ica, Peru;https://x.com/lalupa_pe/status/1844867165117116420;14528;1392;2570;negative
1763931578684858475;2024-03-02 14:17:15;Juan Pablo León 🇵🇪;En vez de haber despejado las vías de Lima para el transporte formal con carriles exclusivos y retirar a las combis piratas de sus rutas, el MTC acepta la salida del Corredor Morado y pondrá coasters y buses para reemplazarlo: de regreso a los 90's. ;Lima, Perú;https://x.com/mal_menor/status/1763931578684858475;58820;1032;2458;neutral
1806377096047931884;2024-06-27 17:20:35;La República; ATU lanza la tarjeta única para interconectar el Metro, Metropolitano y corredores de Lima y Callao La Autoridad de Transporte Urbano ofrecerá una tarjeta única con la que se podrán pagar todos los servicios que ofrece. ;Lima, Perú;https://x.com/larepublica_pe/status/1806377096047931884;3192094;303;2212;positive
1819130233003352417;2024-08-01 21:57:00;Stephano;Tomé un @DidiPeru por S/16 y terminó en S/196 porque el conductor, que se llama Víctor, no finalizó el viaje al dejarme en mi casa. Se paseó por todo Lima. Lo peor es que para hacer el reclamo, primero tengo que pagar ese servicio que no me fue brindado. Aló, @IndecopiOficial ;Lima, Peru;https://x.com/_plazasanmartin/status/1819130233003352417;2717;673;2199;negative
1813542969410265100;2024-07-17 11:55:12;Pamela Acosta ☕📰;Buenos días, hoy me levanté con la sensación de que Lima ya fue. La ciudad está al borde del colapso, falta infraestructura vial y la que hay es deficiente. Tampoco hay suficientes áreas verdes y espacios de recreación públicos. Mejor refundemos la capital en otro lugar ‍;Lima, Peru;https://x.com/piacostar/status/1813542969410265100;63293;261;2160;negative
